,id,artist,first_artist,song,weeks_on_chart,peak_rank,lyrics,length,word_count,language,language_score
476,9669,H.E.R.,H.E.R.,Damage,2,70,"If you got it, it ain't no question No, it ain't no room for guessin' No more than emotionally invested (No, no) Showin' you all my imperfections, oh  If I let you, don't take me for granted, yeah (You, you, you, you) If I'm worth more than you could manage, manage, yeah Open with me, oh, we could be honest Closer to me, oh, givin' me solace Promise that you won't let me fall, oh, oh  Holdin' me tight, lovin' me right, givin' me life All night you could be (You could be) Tellin' me lies, makin' me cry, wastin' my time The whole timе, so just be Careful what you take for grantеd, yeah 'Cause with me know you could do damage You (Uh), you could do damage You (You), you could do damage (You, you, you, you) Yeah, uh  Worry 'bout it, I'm puttin' pressure (You know) You'll only cut me if I let you No, we ain't doing this just for pleasure Either learn me or I'm a lesson, gone, no  If you want me don't take me for granted, yeah, yeah If I'm worth more than you could manage, baby Oh, you're fallin' for me, oh, baby, I've caught it Ooh, we could be whatever you wanna call it Promise that you won't let me fall, oh, oh  Holdin' me tight, lovin' me right, givin' me life All night, you could be (You could be) Tellin' me lies, makin' me cry, wastin' my time The whole time, so just be Careful what you take for granted, yeah 'Cause with me know you could do damage You (Uh), you could do damage You, you could do damage  Oh, you could do damage Oh, you could do damage, yeah Oh, you could damage, yeah, yeah, oh, oh Oh, you could damage, on me",1549,305,en,0.9999986128659328
484,5183,Harry Styles,Harry Styles,Cherry,1,84,"Coucou  Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me  I, I confess I can tell that you are at your best I'm selfish so I'm hating it I noticed that there's a piece of you in how I dress Take it as a compliment  Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me  I, I just miss I just miss your accent and your friends Did you know I still talk to them?  Does he take you walking 'round his parents' gallery?  Don't you call him ""baby"" We're not talking lately Don't you call him what you used to call me Don't you call him ""baby"" (Coucou) We're not talking lately Don't you call him what you used to call me (Coucou)  Coucou ! Tu dors ? Oh, j'suis désolée... Bah non... Nan, c'est pas important... Ouais, on a été à la plage, et maintenant on— Parfait ! Allez !",856,171,en,0.9999972676641873
485,5161,Harry Styles,Harry Styles,Falling,1,62,"I'm in my bed And you're not here And there's no one to blame but the drink in my wandering hands Forget what I said It's not what I meant And I can't take it back, I can't unpack the baggage you left  What am I now? What am I now? What if I'm someone I don't want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin'  You said you cared, and you missed me too And I'm well aware I write too many songs about you And the coffee's out at the Beachwood Cafe And it kills me 'cause I know we've run out of things we can say  What am I now? What am I now? What if I'm someone I don't want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin'  And I get the feeling that you'll never need me again  What am I now? What am I now? What if you're someone I just want around? I'm falling again, I'm falling again, I'm fallin' What if I'm down? What if I'm out? What if I'm someone you won't talk about? I'm falling again, I'm falling again, I'm fallin'",1207,241,en,0.9999973179055521
486,5185,Harry Styles,Harry Styles,Golden,9,74,"Hey!  Golden, golden, golden as I open my eyes Hold it, focus, hoping, take me back to the light I know you were way too bright for me I'm hopeless, broken, so you wait for me in the sky Brown my skin just right You're so golden  You're so golden I'm out of my head, and I know that you're scared Because hearts get broken  I don't wanna be alone I don't wanna be alone when it ends Don't wanna let you know I don't wanna be alone But I can feel it take a hold (I can feel it take a hold) I can feel you take control (I can feel you take control) Of who I am, and all I've ever known Lovin' you's the antidote Golden  You're so golden I don't wanna be alone You're so golden You're so golden I'm out of my head, and I know that you're scared Because hearts get broken  (Golden, golden, golden, golden) (Golden, golden, golden, golden) (Golden, golden, golden, golden) (Golden, golden, golden, golden) (Golden, golden, golden, golden) (Golden, golden, golden, golden) (Golden, golden, golden, golden) I know that you're scared because I'm so open  You're so golden I don't wanna be alone You're so golden You're so golden You're so golden I'm out of my head, and I know that you're scared Because hearts get broken",1213,227,en,0.8571409950659175
487,4216,Harry Styles,Harry Styles,Lights Up,5,17,"What do you mean? I'm sorry by the way Never coming back down Can't you see? I could, but wouldn't stay Wouldn't put it like that What do you mean? I'm sorry by the way Never coming around It'd be so sweet if things just stayed the same La-da-da-da-da  All the lights couldn't put out the dark Runnin' through my heart Lights up and they know who you are Know who you are Do you know who you are? (Oh)  Shine, step into the light Shine, so bright sometimes Shine, I'm not ever going back Shine, step into the light Shine, so bright sometimes Shine, I'm not ever going back Shine, step into the light Shine, so bright sometimes Shine, I'm not ever (Ooh)  What do you mean? I'm sorry by the way Never going back now It'd be so sweet if things just stayed the same La-da-da-da-da La-da-da-da-da La-da-da-da-da (Oh) La-da-da-da-da (Oh) La-da-da-da-da (Oh)  All the lights couldn't put out the dark Runnin' through my heart Lights up and they know who you are Know who you are Do you know who you are?",996,185,en,0.9999988886907337
488,5198,Harry Styles,Harry Styles,She,1,99,"Nine in the morning, the man drops his kids off at school And he's thinking of you, like all of us do Sends his assistant for coffee in the afternoon Around 1:32, like he knows what to do  She (She), she lives in daydreams with me (She) She's the first one that I see, and I don't know why I don't know who she is (She, she)  He takes a boat out, imagines just sailing away (Away, away) And not telling his mates (Not telling his mates) He wouldn't know what to say (Wouldn't know what to say, to say)  She (She), she lives in daydreams with me (She) She's the first one that I see, and I don't know why I don't know who she is (She) She (She), she's the first one that I see (She) She lives in daydreams with me, and I don't know why I don't know where she is (She, she)  Lives for the memory A woman who's just in his head (Just in his head) And she sleeps in his bed (His bed) While he plays pretend (Pretend) So pretend (Pretend)  She (She), she lives in daydreams with me (She) She's the first one that I see, and I don't know why I don't know who she is (She, she) She (She), she's the first one that I see (She) She lives in daydreams with me, and I don't know why I don't know where she is (She, she)",1208,246,en,0.9999980812397476
489,4759,Harry Styles,Harry Styles,Watermelon Sugar,37,1,"Tastes like strawberries on a summer evenin' And it sounds just like a song I want more berries and that summer feelin' It's so wonderful and warm  Breathe me in, breathe me out I don't know if I could ever go without I'm just thinking out loud I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar  Strawberries on a summer evenin' Baby, you're the end of June I want your belly and that summer feelin' Getting washed away in you  Breathe me in, breathe me out I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high  I just wanna taste it, I just wanna taste it Watermelon sugar high  Tastes like strawberries on a summer evenin' And it sounds just like a song I want your belly and that summer feelin' I don't know if I could ever go without  Watermelon sugar high Watermelon sugar high Watermelon sugar high (Sugar) Watermelon sugar high (Sugar) Watermelon sugar high Watermelon sugar high Watermelon sugar high Watermelon sugar high  I just wanna taste it, I just wanna taste it (Eh-eh-eh) Watermelon sugar high I just wanna taste it, I just wanna taste it (Ooh, yeah) Watermelon sugar high Watermelon sugar",1365,234,en,0.999997374989104
490,497,Hikaru Utada & Skrillex,Hikaru Utada,Face My Fears,1,98,"宇多田ヒカル & Skrillexの「Face My Fears」歌詞  ねえ　どれくらい ねえ　笑えばいい? 今伝えたいこと　よそに  Let me face, let me face Let me face my fears Oh, let me face, let me face Let me face my fears 私の地図に載っていない道に 立ちたい  海は　遠くない  ねえ　生まれつき ねえ　臆病な人なんていない 初めてのように歩きたい  Let me face, let me face Let me face my fears Oh, let me face, let me face Let me face my fears 私の地図に載っていない海は 遠くない  危ない, 危ない, 危な-危ない, 危ない, 危な-危ない 危ない, 危ない, 危な-危ない, 危ない, 危な-危ない 海は　遠くない  海は　遠くない  Let me face, let me face Let me face my fears Oh, let me face, let me face Let me face my fears 私の知らない私に 早く会いたい",535,107,fr,0.5714257199662739
491,4854,Idina Menzel & AURORA,Idina Menzel,Into The Unknown,12,46,"Ooh Ooh Ooh  I can hear you, but I won't Some look for trouble while others don't There's a thousand reasons I should go about my day And ignore your whispers, which I wish would go away, oh  Ooh Oh Ooh, ah  You're not a voice, you're just a ringing in my ear And if I heard you, which I don't, I'm spoken for, I fear Everyone I've ever loved is here within these walls I'm sorry, secret siren, but I'm blocking out your calls  I've had my adventure, I don't need something new I'm afraid of what I'm risking if I follow you  Into the unknown Into the unknown Into the unknown  Ooh Ooh  What do you want? 'Cause you've been keeping me awake Are you here to distract me so I make a big mistake? Or are you someone out there who's a little bit like me? Who knows deep down I'm not where I'm meant to be?  Every day's a little harder as I feel my power grow Don't you know there's part of me that longs to go  Into the unknown? Into the unknown Into the unknown  Ooh Ooh, ah  Oh Are you out there? Do you know me? Can you feel me? Can you show me? Ah, ah (Ah, ah) Ah, ah (Ah, ah) Oh, oh Oh, oh Oh, oh Oh, oh  Where are you going? Don't leave me alone How do I follow you (Ah) Into the unknown? (Oh, oh)",1199,246,en,0.9999982211168479
492,4898,Idina Menzel & Evan Rachel Wood,Idina Menzel,Show Yourself,3,70,"Every inch of me is trembling But not from the cold Something is familiar Like a dream I can reach but not quite hold I can sense you there Like a friend I've always known I'm arriving And it feels like I am home  I have always been a fortress Cold secrets deep inside You have secrets, too But you don't have to hide  Show yourself I'm dying to meet you Show yourself It's your turn Are you the one I've been looking for All of my life? Show yourself I'm ready to learn Ah-ah, ah-ah Ah-ah, ah-ah-ah  I've never felt so certain All my life I've been torn But I'm here for a reason Could it be the reason I was born? I have always been so different Normal rules did not apply Is this the day? Are you the way I finally find out why?  Show yourself I'm no longer trembling Here I am I've come so far You are the answer I've waited for All of my life Oh, show yourself Let me see who you are  Come to me now Open your door Don't make me wait One moment more Oh, come to me now Open your door Don't make me wait One moment more  Where the north wind meets the sea (Ah-ah, ah-ah) There's a river (Ah-ah, ah-ah) Full of memory (Memory, memory) Come, my darling, homeward bound I am found  Show yourself Step into the power Grow yourself Into something new You are the one you've been waiting for All of my life (All of your life) Oh, show yourself  Ah-ah, ah-ah Ah-ah, ah-ah Ah-ah, ah-ah Ah-ah, ah-ah Ah-ah, ah-ah Ah-ah, ah-ah",1420,278,en,0.9999968386836445
494,1071,Imagine Dragons,Imagine Dragons,Bad Liar,9,56,"Oh, hush, my dear, it's been a difficult year And terrors don’t prey on innocent victims Trust me, darlin', trust me darlin' It’s been a loveless year I'm a man of three fears: Integrity, faith, and crocodile tears Trust me, darlin', trust me, darlin'  So look me in the eyes (Eyes), tell me what you see (You see) Perfect paradise (—Dise), tearin' at the seams (Seams) I wish I could escape it (Escape), I don't wanna fake it Wish I could erase it (Erase), make your heart believe  But I'm a bad liar, bad liar Now you know, now you know I'm a bad liar, bad liar Now you know, you’re free to go  Did all my dreams never mean one thing? Does happiness lie in a diamond ring? Oh, I’ve been askin' for— Oh, I’ve been askin' for problems, problems, problems I wage my war, on the world inside I take my gun to the enemy's side Oh, I've been askin’ for— (Trust me, darlin') Oh, I've been askin' for (Trust me, darlin') problems, problems, problems  So look me in the eyes (Eyes), tell me what you see (You see) Perfect paradise (—Dise), tearin' at the seams (Seams) I wish I could escape it (Escape), I don't wanna fake it Wish I could erase it (Erase), make your heart believe  But I'm a bad liar, bad liar Now you know, now you know I'm a bad liar, bad liar Now you know, you're free to go  I can't breathe, I can't be I can't be what you want me to be Believe me, this one time Believe me  I'm a bad liar, bad liar Now you know, now you know I'm a bad liar, bad liar Now you know, you're free to go  Oh-oh-oh Please believe me Please believe me",1543,301,en,0.9999956544250688
496,5387,Ingrid Andress,Ingrid Andress,More Hearts Than Mine,20,30,"I can't wait to show you where I grew up Walk you 'round the foothills of my town Probably feel like you've been there before After hearing all the stories I've been telling you For six months now  We'll probably have to sleep in separate bedrooms Pack a shirt for church, because we'll go I'm not trying to scare you off, but I just thought that we should talk A few things out before we hit the road  If I bring you home to mama I guess I'd better warn ya She falls in love a little faster than I do And my dad will check your tires Pour you whiskey over ice and Take you fishin', but pretend that he don't like you Oh, if we break up, I'll be fine But you'll be breaking more hearts than mine  My sister's gonna ask a million questions Say anything she can to turn you red And when you meet my high school friends They'll buy you drinks and fill you in On all the crazy nights I can't outlive  So if I bring you home to mama I guess I'd better warn ya She falls in love a little faster than I do And my dad will check your tires Pour you whiskey over ice and Buy you dinner, but pretend that he don't like you Oh, if we break up, I'll be fine But you'll be breaking more hearts than mine  Oh Mmh  If I bring you home to mama I guess I'd better warn ya She feels every heartache I go through And if my dad sees me cryin' He'll pour some whiskey over ice and Tell a lie and say he never really liked you Oh, if we break up I'll be fine But you'll be breaking more hearts than mine You'll be breaking more hearts than mine",1522,311,en,0.9999965127881574
506,8299,J. Cole,J. Cole,the.climb.back,2,52,!NoSong!,8,1,tl,0.9999955421636326
516,10445,Jackson 5,Jackson 5,Santa Claus Is Comin' To Town,1,46,"Santa Claus is comin' to town Santa Claus is comin' to town  You'd better watch out You'd better not cry You'd better not pout I'm telling you why  Santa Claus is comin' to town Santa Claus is comin' to town Santa Claus is comin' to town  He's making a list And checking it twice Gonna find out who's naughty and nice  Santa Claus is comin' to town, oh yeah Santa Claus is comin' to town Santa Claus is comin' to town  He sees you when you're sleeping He knows when you're awake He knows if you've been bad or good So be good for goodness sake (Be good for goodness sake)  Oh, you'd better watch out (Watch out) You'd better not cry (Woo hoo) Better not pout I'm telling you why  Oh! Santa Claus is comin' to town, oh yeah Santa Claus is comin' to town Santa Claus is comin' to town (Woo hoo) (Woo hoo...woo hoo) Santa Claus is comin' to town Santa Claus is comin' to town Santa Claus is comin' to town  Little tin horns, and little toy drums Rooty-toot-toot, and rump-a-tum-tums Curly-haired dolls, that tootle and coo Elephants, boats, and kiddie cars too  Oh! Santa Claus is comin' to town, oh yeah Santa Claus is comin' to town Santa Claus is comin' to town One more time now Santa Claus is comin' to town, oh yeah Santa Claus is comin' to town Santa Claus is comin' to town",1278,242,en,0.9999966446260772
519,5787,Jake Owen,Jake Owen,Homemade,16,39,"Where I grew up, gettin' dressed up means Buttoned down shirt and a good pair of jeans Wasn’t Sunday supper without collard greens Dad was boss, Christ is king Friday night was livin' for them lights to come on Then I turned to Miller Lites when I turned 21 There's some things about me that I can’t change I'll always be the man that home made  Home made me love a dirt road Home made me crave some ice cold homemade Sweet tea only mama knows how to make Homemade Home made me love a small town Home made me wanna settle down in a home made For the two of us Everything I love is homemade  My pickup lines didn't seem to work Guess my pickup truck must've got to her Windows down, singin' every word Of that George Strait mixtape that was homemade  Home made me love a dirt road Home made me crave some ice cold homemade Sweet tea only mama knows how to make Homemade Home made me love a small town Home made me wanna settle down in a home made For the two of us Everything I love is homemade  Hey, what we got you can't get from a store Hey, the good stuff comes from the good Lord Homemade  Home made me love a dirt road Home made me crave some ice cold homemade Sweet tea only mama knows how to make Homemade Home made me love a small town Home made me wanna settle down in a home made For the two of us Everything I love is homemade  (Homemade, homemade) Homemade (Homemade, homemade) Yeah, it's homemade (Homemade, homemade) Homemade",1439,278,en,0.9999970169006814
521,86,Jason Aldean,Jason Aldean,Girl Like You,19,46,"Love how you close your eyes when I pull you in closer Tonight's movin' fast but we ain't takin' it slower You hit me harder than a drink does You're gonna take me all the way up Something about you baby, got me goin' crazy I don't know what to do  I've never met a girl like you That's ever done it quite like you do Your kiss is double-barrel bourbon on rocks Your lips are just the cherry on top I've never been high like this Turn out the lights and let me breathe you in Your eyes are so diamond, body so gold An' I don't want to let you go I've never met a girl like you  Love how you say my name and make it sound so sexy Love how you do that thing, yeah you know what gets me I'm talkin' slow motion all night long Baby, love you with the lights on  I've never met a girl like you That's ever done it quite like you do Your kiss is double-barrel bourbon on rocks Your lips are just the cherry on top I've never been high like this Turn out the lights and let me breathe you in Your eyes are so diamond, body so gold An' I don't want to let you go I've never met a girl like you  I've never met a girl like you That's ever done it quite like you do Your kiss is double-barrel bourbon on rocks Your lips are just the cherry on top I've never been high like this Turn out the lights and let me breathe you in Your eyes are so diamond, body so gold An' I don't want to let you go I've never met a girl like you I've never met a girl like you",1445,303,en,0.9999978715338874
522,7577,Jason Aldean,Jason Aldean,Got What I Got,25,16,"She said, ""Baby, do you ever miss bein' alone?"" I said, ""Hell no, I don't"" She said, ""Do you really think I'm where you belong?"" I said, ""You know and I know..."" You're perfect for me Everything I'll ever need I ain't playin' What I'm sayin'  When I got what I got, I don't miss what I had The old me before you belongs to the past In the back of your mind, you might think there's somethin' more I want But when I got what I got, girl, I don't  I said, ""Baby, do you know you sound a little crazy When you're talkin' like that, girl?"" Ain't no second thoughts, no regrets, no kinda maybe No wishin' I turned back Before you came along I could go all alone Girl, just kiss me You're all that I want  When I got what I got, I don't miss what I had The old me before you belongs to the past In the back of your mind, you might think there's somethin' more I want But when I got what I got, girl, I don't  She said, ""Baby, do you ever miss bein' alone?"" I said, ""Hell no, I don't""  When I got what I got, I don't miss what I had The old me before you belongs to the past In the back of your mind, you might think there's somethin' more I want But when I got what I got, girl, I don't  No, I don't No, I don't When I got what I got, girl, I don't",1242,260,en,0.9999966601623405
523,2296,Jason Aldean,Jason Aldean,Rearview Town,18,40,"Wiped the footprints off my dash Tore up those sun-faded photographs Threw 'em in the wind, ya'll can have it back I'm outta here I stuck my middle finger up in the sky Flipped off that ""ya'll come back"" sign Looked in the mirror one last time And watched it disappear  It ain't nothin' but a rearview town Broken hearts and rusted plows Roots ripped right up out of the ground Never thought I'd ever leave it It ain't nothin' what it used to be Population minus me On the other side of that dust cloud Ain't nothin' but a rearview town  I could tough it out, but what's the use? A place that small, it's hard to do Too much of her to run into And so much road to somewhere new  It ain't nothin' but a rearview town Broken hearts and rusted plows Roots ripped right up out of the ground Never thought I'd ever leave it It ain't nothin' what it used to be Population minus me On the other side of that dust cloud Ain't nothin' but a rearview town  It ain't nothin' but yesterday One less truck rollin' down Main Ain't nothin' left to say  It ain't nothin' what it used to be Population minus me On the other side of that dust cloud Ain't nothin' but a rearview town  Ain't nothin' but a rearview town",1199,231,en,0.9999967642623875
536,41,John & Yoko/The Plastic Ono Band With The Harlem Community Choir,John,Happy Xmas (War Is Over),2,42,"(Happy Christmas, Kyoko Happy Christmas, Julian)  So this is Christmas And what have you done? Another year over And a new one just begun And so this is Christmas I hope you had fun The near and the dear ones The old and the young  A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear  And so this is Christmas (War is over) For weak and for strong (If you want it) For rich and the poor ones (War is over) The road is so long (Now) And so happy Christmas (War is over) For black and for white (If you want it) For yellow and red ones (War is over) Let's stop all the fight (Now)  A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear  And so this is Christmas (War is over) And what have we done? (If you want it) Another year over (War is over) And a new one just begun (Now) And so happy Christmas (War is over) We hope you had fun (If you want it) The near and the dear ones (War is over) The old and the young (Now)  A very Merry Christmas And a happy New Year Let's hope it's a good one Without any fear  War is over, if you want it War is over, now Happy Christmas Happy Christmas, Christmas Happy Christmas, Christmas",1194,241,en,0.9999977805770633
538,5268,John Legend,John Legend,Happy Xmas (War Is Over),1,69,!NoSong!,8,1,tl,0.9999969602401961
539,993,John Mayer,John Mayer,I Guess I Just Feel Like,1,94,"I guess I just feel like I guess I just feel like Nobody's honest, nobody's true Everyone's lyin' to make it on through I guess I just feel like I'm the same way too  Ooh-ooh, ooh-ooh  I guess I just feel like good things are gone And the weight of my worries is too much to take on I think I remember the dream that I had That love's gonna save us from a world that's gone mad I guess I just feel like What happened to that?   I guess I just feel like the joke's gettin' old And the future is fading and the past is on hold But I know that I'm open and I know that I'm free And I'll always let hope in wherever I'll be And if I go blind, I'd still find my way I guess I just felt like givin' up today  Mmm, yeah, yeah",718,152,en,0.9999963194417295
540,2390,John Rich Featuring The Five,John Rich,Shut Up About Politics,1,91,"Shut up about politics Ain't nothing but a big pile of dirty tricks I'm tired of all the fighting and the pitching fits So shut up about politics  You punch left, I punch right We're caught up in the middle of a deep swamp fight Some people lie, some people steal And everybody's talking 'bout the great new deal  Shut up about politics Ain't nothing but a big pile of dirty tricks I'm tired of all the fighting and the pitching fits So shut up about politics  All this fussing and carrying on It's been going on a little too long But I got something to fix us all up Take a shot of my whiskey from a big red cup  Shut up about politics Ain't nothing but a big pile of dirty tricks I'm tired of all the fighting and the pitching fits So shut up about politics Shut up about politics Ain't nothing but a big pile of dirty tricks I'm tired of all the fighting and the pitching fits So shut up about politics Shut up about politics Ain't nothing but a big pile of dirty tricks I'm tired of all the fighting and the pitching fits So shut up about politics Shut up about politics So shut up about politics",1100,214,en,0.9999966610885482
541,5967,Joji,Joji,Run,1,68,"I fell for your magic, I tasted your skin And though this is tragic, at least I found the end I witnessed your madness, you shed light on my sins And if we share in this sadness, then where have you been?  I know you're not in love like you used to be Guess I’m not the one, like you used to think So you'll just run I know that I'm stuck in this misery Guess I’m not enough, like you used to think So I'll just run (Ooh)  You bathe in your victory You blew out on my fuse And if I took on the planet Will I pay my dues? Your love was a mystery Yeah, my love is a fool And I traveled the country just to get to you  I know you're not in love like you used to be Guess I'm not the one, like you used to think So you'll just run I know that I'm stuck in this misery Guess I'm not enough, like you used to think So I'll just run  And I traveled the country And I traveled the country just to get to you I know you’re not in love I know you’re not in love I know you're not in love",977,212,en,0.9999981199909257
542,2579,Joji,Joji,Sanctuary,1,80,"Go ahead and park after dark Fallen star, I'm your one call away Motel halls, neon walls When night falls, I am your escape  When you lay alone, I ache Something I wanted to feel  If you’ve been waitin' for fallin' in love Babe, you don’t have to wait on me 'Cause I've been aimin' for Heaven above But an angel ain't what I need  Not anyone, you're the one More than fun, you're the sanctuary 'Cause what you want is what I want Sincerity  Souls that dream alone lie awake I’ll give you somethin’ so real  If you've been waitin’ for fallin' in love Babe, you don't have to wait on me 'Cause I’ve been aimin' for Heaven above But an angel ain't what I need  Hold me oh so close 'Cause you never know Just how long our lives will be  If you've been waitin' for fallin' in love Babe, you don't have to wait on me 'Cause I've been aimin' for Heaven above But an angel ain't what I need",882,173,en,0.999995608694799
543,1295,Joji,Joji,Slow Dancing In The Dark,13,69,"I don't want a friend (Just one more night) I want my life in two (My life in two) Please one more night Waiting to get there Waiting for you (Waiting for you) Just one more night I'm done fighting all night  When I'm around slow dancing in the dark Don't follow me, you'll end up in my arms You done made up your mind I don't need no more signs Can you? Can you?  Give me reasons we should be complete You should be with him, I can't compete You looked at me like I was someone else, oh well Can't you see? (Can't you see?) I don't wanna slow dance (I don't wanna slow dance) In the dark, dark  When you gotta run Just hear my voice in you (My voice in you) Shutting me out you (Shutting me out) Doing so great (So great, so great) You  Used to be the one to hold you when you fall Yeah, yeah, yeah (When you fall, when you fall) I don't fuck with your tone (I don't fuck with your tone) I don't wanna go home (I don't wanna go home) Can it be one night? Can you? Can you?  Give me reasons we should be complete You should be with him, I can't compete You looked at me like I was someone else, oh well Can't you see? I don't wanna slow dance (I don't wanna slow dance) In the dark, dark In the dark, dark",1205,248,en,0.9999967063912333
544,8898,Jon Pardi,Jon Pardi,Ain't Always The Cowboy,16,55,"Her hands wrapped up in mine Tears rollin' out of her eyes No messin' with a made-up mind Sun settin' on goodbye Yeah, it's hard to believe It wasn't me tryin' to leave this time  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away  I've never seen over from this side Never heard lonely get this quiet Still, I can't keep from smiling 'Cause, damn, that girl can fly  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away  A tumbleweed heart chasin' that wind Goin' too far, wherever that is  It ain't always the cowboy That ain't got a lot of hang around Ain't got no settle down in their boots Gone's just what they do That restless running, searchin' for something Leavin' love in the dust of a midnight Chevrolet It ain't always the cowboy that rides away Rides away It ain't always the cowboy",1226,226,en,0.9999972344162278
545,4083,Jon Pardi,Jon Pardi,Heartache Medication,20,42,"Same old dive, same old end of the work week drink Bartender knows my name, but I don't mind She kicks 'em up strong, serves me up right  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well, it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Another girl, another dance to a country song Turnin' me on, here's to a good time And halfway to feelin' alright  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Single, drinkin' doubles Teardrops turnin' into bubbles Yeah, a little later on I'll probably find me some trouble  And here I go again, I'm drinkin' one, I'm drinkin' two I got my heartache medication, a strong dedication To gettin' over you, turnin' me loose On that hardwood jukebox lost in neon time My heartache medication, well it suits me fine And I'm drinkin' enough to take you off my mind I got my heartache medication  Heartache medication takin' me away Oh whoa",1355,245,en,0.9999947113351395
546,597,Jon Pardi,Jon Pardi,Night Shift,16,56,"It's been a wreck me week Sixty plus from dawn to dusk In the red dirt heat Busting it up for a couple of bucks But it ain't no thing Just another day 'til I'm on my way To them cool, cool sheets and you and me  Working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby  Gonna rock it right No need to talk, I know what you want And what you like 'Cause I do too, yeah I love how you leave on the lights Not a thing between you and me And it feels so nice when you and I are  Working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby  Yeah, yeah It's been a wreck me week Oh, but who needs sleep?  When you're working on the night shift, baby Dying for your touch like crazy Racking up the overtime hours Loving how we're working on the night shift, baby Loving how we're working on the night shift Loving how we're working on the night shift Working on the night shift, baby",1049,209,en,0.9999961433082641
553,5398,Jordan Davis,Jordan Davis,Slow Dance In A Parking Lot,19,37,"Lights go down, wheels go 'round I'm taking you home Hoping for a slow song to come on the radio now I'm not ready to shut it down The way the dashboard glow Is hitting your eyes making me lose everything on my mind And the only thing I wanna do is find a spot Stop this car and throw it in park and just  Slow dance with you Spinning you around by the Walmart sign And moving our feet over the painted white lines Getting close to you Making the most of whatever we got Even if it's just a slow dance in a parking lot (Slow dance in a parking lot)  A half song gone, one door open, across the lot A rent-a-cop's rolling a security car Its yellow lights spinning and flashing in time To the radio singing a little Garth Brooks You start humming the very last verse to ""She's Every Woman"" And I don't care what song comes next I'm falling right here, don't want a safety net in a  Slow dance with you Spinning you around by the Walmart sign And moving our feet over the painted white lines Getting close to you Making the most of whatever we got Even if it's just a slow dance in a parking lot  And get close to you Making the most of whatever we got, even if it's just  A slow dance with you Spinning you around by the Walmart sign And moving our feet over the painted white lines Getting close to you Making the most of whatever we got Even if it's just a slow dance in a parking lot",1384,276,en,0.9999969820649294
555,28,Jose Feliciano,Jose Feliciano,Feliz Navidad,14,6,"Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart  Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart  Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad Feliz Navidad Feliz Navidad Feliz Navidad Próspero año y felicidad  I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart I wanna wish you a merry Christmas I wanna wish you a merry Christmas I wanna wish you a merry Christmas From the bottom of my heart  Feliz Navidad, ey, ey Feliz Navidad Feliz Navidad Próspero año y felicidad",1280,234,en,0.9999966272501513
